Country Name,Country Code,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
"Congo, Rep.",COG,,9.555709839,11.90800953,16.35689926,21.38866043,25.42521095,29.10083008,34.70983887,38.58216858,41.15486145,42.69514084,51.22486877,54.65822983,,50.46257019,51.23112106,56.17562103,58.85626984,55.73603058,47.69028854,40.68716812,,40.74705887,,,,41.43852997,,,,,,31.11918068,30.61459923,38.72552109,,,,,,,,47.0819397,,,,,,63.00503246,,,,,
Colombia,COL,24.21500969,26.22026062,27.91846085,34.41176987,37.13446045,38.49378967,39.71675873,42.21384811,42.08512878,43.08272934,43.89596176,44.72266006,45.91772842,48.40864944,47.40472031,48.56642914,53.69863129,54.64719009,55.35282135,55.82963943,,60.34006119,67.01174164,68.29260254,,70.31217194,71.21173859,,78.06491089,77.93527222,79.09343719,,81.1554718,,86.38829041,90.48802185,94.4033432,97.28814697,98.24336243,102.6752014,104.3650894,105.4418335,101.4080429,102.0723038,101.2459106,101.2322617,101.6749268,102.081871,102.9156113,104.4218063,103.5993423,105.2272568,103.587738,
Comoros,COM,,1.754580021,,2.950639963,,,,,,,,18.34230995,,,,,27.93011093,27.86516953,,,,,,,,,,,,28.51606941,,,31.83875084,34.83113861,36.28953934,,,,,,,,,60.2581172,62.74523592,,,59.28572668,65.04570892,,,,,55.54391936
Cabo Verde,CPV,,,11.25496006,,,,,,,,,,,,,,,12.88099957,15.29644966,16.64193916,19.3913002,,,,24.15476036,,,,,,,64.5670166,68.33686829,71.38578033,71.55644989,75.50618744,89.08244324,88.50630188,86.97644806,88.60575104,91.34604645,93.16584015,94.61670685,95.91227722,93.61083221,92.88075256,92.59670258,91.78929901,88.00454712,88.30027008,91.22451019,90.6651535,,
Costa Rica,CRI,28.54718018,30.55361938,33.88647079,40.0812912,43.01161957,43.73168945,44.774189,46.10071945,,50.03247833,50.70159149,49.82273102,48.62044907,46.02766037,43.69087982,42.01622009,42.16624832,42.40348053,42.07152939,42.68212891,44.31605911,46.05292892,48.39403152,49.90597153,51.15478134,52.44826889,52.11973953,53.56893921,60.58275986,66.38770294,65.05184174,69.4329071,70.80519104,,83.64897919,85.11186218,92.32659149,93.28916168,94.30187988,100.7193909,103.3261337,105.4292603,107.9972916,114.5145493,119.1379395,120.8902206,123.62146,128.5251007,133.874176,142.5613251,141.8932343,150.0161896,140.7112732,
Caribbean small states,CSS,53.79225922,53.71741104,54.48979187,54.78197098,53.99261856,61.2836113,63.99119186,64.618927,65.96721649,67.25215149,70.46440125,67.95326996,67.98293304,68.40087891,68.31706238,70.16451263,72.01235962,71.71768188,73.36116791,73.16088104,73.65113068,74.34573364,73.96631622,72.47537231,73.9986496,75.58651733,77.28408813,78.95239258,80.38655853,81.48126221,82.58901215,83.65733337,84.32724762,83.96819305,86.10131836,86.34625244,87.66442108,88.91943359,89.9814682,90.30451965,92.05583191,93.30998993,92.41864777,90.80999756,90.90830994,89.66945648,91.48680115,90.36490631,89.05085754,89.22756195,86.83291626,86.46492767,85.80034637,86.42697906
Cuba,CUB,,,20.86621094,22.76419067,26.8214798,33.44195175,,,63.1001091,69.9910202,81.46311188,81.78424835,82.73467255,81.13096619,82.19821167,83.66766357,86.30818939,88.27893829,91.52770996,96.08516693,98.36360168,99.86367035,98.91188812,94.63970184,88.67359924,84.93360138,85.85948944,87.87853241,,82.95108795,84.41667175,87.0763092,88.67355347,91.35482025,92.35719299,93.70163727,94.60198975,93.75773621,93.44438171,92.30814362,92.14816284,91.76194,91.07328796,90.91632843,96.9803009,97.62934875,99.45960236,100.1260071,100.8924789,101.6041336,102.4349823,100.0668411,104.4184494,96.29595184
Curacao,CUW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.23233795,,,,,,,139.717804,,,128.6304626
Cayman Islands,CYM,,,61.45695114,74.40699005,80.02378082,91.42857361,88.4187088,85.46256256,,,78.27475739,101.009079,,,,,,,,,,,,,,,,,,86.10421753,92.1662674,83.05209351,81.78669739,,88.52352905,84.15470886,86.43551636,89.80699921,99.52066803,,,93.33332825,91.04142761,91.51351166,99.40572663,99.89077007,105.7317752,107.5342466,102.6753922,107.3200989,113.3290405,119.5923691,116.9470367,112.7345123
Cyprus,CYP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.44010925,93.90014648,97.98078156,98.49739075,97.88860321,95.34259796,94.50447845,94.39965057,93.54924011,92.99085236,91.9940033,93.532547,96.18628693,98.5265274,99.45568848,99.40921021,98.42323303,99.53044891,98.96697235,99.23193359,99.83450317,101.5674362,103.5284195,
Czechia,CZE,,88.8289032,89.54698944,89.77870941,89.39781952,90.35565948,92.79676819,95.15579987,95.56255341,95.60684204,94.60378265,,105.1121521,102.9907608,98.12091827,95.61412811,93.27723694,100.1146088,98.0490799,89.39900208,86.923172,89.0280304,89.68026733,93.97753906,94.50187683,99.28547668,102.9207764,92.20964813,86.33682251,86.48777771,90.18694305,96.00283051,96.58341217,97.26142883,96.10951996,96.78180695,98.08611298,98.22769165,98.65821075,98.49501801,99.01049805,99.56680298,99.93798828,107.3489075,106.4524612,105.3725662,103.5642166,102.7512817,102.0129929,100.9168091,99.90653229,102.61866,103.7158737,
Germany,DEU,,,,,,,,,,,,,,,,,,,,,,,98.28645325,101.8789978,102.4464493,102.0569992,102.3302383,102.7945709,97.84882355,98.22498322,98.5004425,98.94750977,100.2039795,100.3516388,100.4611282,100.4273605,101.2293777,100.8714218,101.9611435,100.6801682,102.3002014,102.5596924,101.587738,101.2639236,100.5561371,99.43530273,98.58422852,98.17710114,97.60193634,97.68504333,97.89311218,98.05149078,97.70004272,
Djibouti,DJI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominica,DMA,,,,85.33718109,88.07817841,85.06065369,79.92479706,80.58631134,75.73869324,79.10095215,,,,,,,88.07932281,79.66261292,,,85.33673859,,,,,,,,,112.9131699,110.5011292,111.0159836,114.2231293,119.6701584,114.9039917,114.7636566,114.1057205,114.935463,110.7507019,115.2276306,110.590889,109.902977,102.3517382,,98.30027771,90.95143127,,,,88.91343689,87.02542877,85.27993774,84.9458313,83.40995789
